condition,phase,kappa_per,kappa_op,n_total,n_tail,xmin,alpha,xc,plc_KS,plc_loglik,plc_AIC,plc_BIC,exp_lambda,exp_KS,exp_loglik,exp_AIC,exp_BIC,delta_AIC_exp_minus_plc,delta_BIC_exp_minus_plc,preferred_AIC,preferred_BIC
I,Milling phase,2.5,3.0,193,193,1.0,1.0340860372593184,93103.63803020904,0.10504970731925178,-1467.9000469005136,2939.8000938010273,2946.325474178837,0.00014080859151281686,0.5952256520383404,-1904.5450556891099,3811.0901113782197,3814.3528015671245,871.2900175771924,868.0273273882876,powerlaw_exp_cutoff,powerlaw_exp_cutoff
III,MS phase,1.5,2.0,448,448,1.0,0.9841243605852388,36277.542862383874,0.14594829798163877,-3399.594247300125,6803.18849460025,6811.39808106508,0.0002534191790802468,0.48969687740014367,-4157.648591471543,8317.297182943086,8321.4019761755,1514.108688342836,1510.0038951104207,powerlaw_exp_cutoff,powerlaw_exp_cutoff
IV,MS phase,2.5,1.8,781,781,1.0,1.0920495474525063,36745.40671522158,0.16261203585147246,-5131.786695904814,10267.573391809628,10276.894542109309,0.00043698614960928627,0.5531642992201955,-6822.510674008158,13647.021348016317,13651.681923166156,3379.447956206688,3374.787381056847,powerlaw_exp_cutoff,powerlaw_exp_cutoff
V,SMS phase,0.5,1.5,70807,70807,1.0,1.3828928737222272,477.27295467182984,0.24450972361489684,-244322.7112543145,488649.422508629,488667.7579349187,0.03676738619074572,0.3908088992071117,-304692.7222757323,609387.4445514646,609396.6122646094,120738.02204283566,120728.85432969074,powerlaw_exp_cutoff,powerlaw_exp_cutoff
