path,N,percept_kappa,option_kappa,rep,seed,status,n_frames,n_omega,n_windows,Omega_mean,Omega_var,chi_mean,chi_var,chi_max,tau_mean,tau_var,tau_max,tau_max_over_W,corr_chi_tau,alpha_all,pref_all,r2_all,n_all_fit,log10_chi_range,log10_tau_range,n_loglog,corr_flip_chi,corr_flip_tau,flip_mean,flip_max,flip_qthr,n_flip_pos,n_hi,n_lo,corr_hi,corr_lo,alpha_hi,pref_hi,r2_hi,n_hi_fit,alpha_lo,pref_lo,r2_lo,n_lo_fit,hi_valid,lo_valid,has_switching
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_1p5/okappa_2/pos_rep00_seed10000000.npz,100,1.5,2.0,0,10000000,ok,100000,99999,149,0.028544098138809204,0.6017294526100159,31.97586974715064,469.1709713179452,67.8402841091156,286.18615969971376,35568.92571627098,674.9425709061659,0.3374712854530829,0.8403519567221969,0.5467009557107321,43.65122585570927,0.8534235818440473,149,2.6244409097431185,1.560383546549775,149,0.09423575706876693,0.15610360257102446,0.008386743707424184,0.0415207603801901,0.014607303651825915,135,27,122,0.4793887755142877,0.8831104138444993,0.3641274896466707,92.4755838816364,0.18048865305131967,27,0.5433377634242716,42.793148095124195,0.8784348927390607,122,True,True,True
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_1p5/okappa_2/pos_rep01_seed10000001.npz,100,1.5,2.0,1,10000001,ok,100000,99999,149,0.07028816640377045,0.5937948226928711,33.330310053417094,470.66075122253477,66.62492752075195,310.84766922718285,37140.56202481452,690.5560317300544,0.3452780158650272,0.895044437124689,0.5949853054048453,39.59689833865719,0.8978693308033746,149,2.5462931902533033,1.5636937978531624,149,0.17912740343636271,0.23144626874114224,0.008897065982655758,0.03501750875437719,0.017508754377188594,137,29,120,0.5978927959711785,0.9225916466671811,0.5352058115261037,50.932328129123825,0.24056031901047026,29,0.5929563961521852,39.446989347031824,0.9172395517972899,120,True,True,True
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_1p5/okappa_2/pos_rep02_seed10000002.npz,100,1.5,2.0,2,10000002,ok,100000,99999,149,-0.02730986475944519,0.623379111289978,31.538861781130578,464.31823501729536,66.2937879562378,284.2853270693312,35235.673152442774,681.3465624258195,0.34067328121290974,0.9118649673224251,0.5824451194284801,38.85192596212355,0.8856534843461891,149,2.5494667870572427,1.607417489320623,149,0.13648735573184023,0.11234655190184749,0.006127224686168587,0.030515257628814407,0.01150575287643822,140,29,120,0.7931730189457584,0.9305045109179496,0.7908798065770314,18.082803543006822,0.6660460658112592,29,0.5782611350452495,39.68887044473312,0.9058056715953163,120,True,True,True
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_1p5/okappa_2/pos_rep03_seed10000003.npz,100,1.5,2.0,3,10000003,ok,100000,99999,149,0.15983550250530243,0.5732423067092896,31.44114422940043,459.3137500025841,66.24767780303955,296.44710555465286,36253.08199498206,682.5575026521866,0.3412787513260933,0.8871958467389666,0.5750587533130723,42.47543222776356,0.9030008360333341,149,2.5376034062600006,1.6544607668266913,149,0.13333059689424143,0.10857857715440163,0.009192515720947722,0.03851925962981491,0.018009004502251125,136,31,118,0.5862824521379709,0.9248639559786169,0.4568771696639131,63.193063500927806,0.29180160862428517,31,0.5782638781414233,42.24047128661736,0.9252061814186632,118,True,True,True
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_1p5/okappa_2/pos_rep04_seed10000004.npz,100,1.5,2.0,4,10000004,ok,100000,99999,149,-0.011893395334482193,0.5921991467475891,35.76452999044485,402.51969323153577,64.38605189323425,298.7118716964719,30895.797807858326,685.0937676515462,0.3425468838257731,0.8399358487962574,0.6549572523667966,28.361367103566753,0.8571110634506031,149,2.3149512950800557,1.5493985874230496,149,0.15535704936516176,0.1782138293605602,0.009558470510422997,0.04252126063031516,0.016008004002001,144,33,116,0.6595079263978867,0.8675549004657587,0.7678313537440312,19.206806783605668,0.4812617611530692,33,0.6511334013228789,28.588140182241986,0.8770655203969376,116,True,True,True
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_1p5/okappa_2/pos_rep05_seed10000005.npz,100,1.5,2.0,5,10000005,ok,100000,99999,149,0.07445000112056732,0.5937275290489197,30.789998737038832,459.96825329536216,67.00415015220642,269.8518276249593,33697.608638683734,695.0594313713275,0.34752971568566376,0.9107230194059618,0.5823942619979064,37.588323736329826,0.8921379200920747,149,2.5216981602813653,1.5598412060665119,149,0.1790684542239356,0.15151399142024735,0.009487965459239685,0.05302651325662831,0.016508254127063533,131,27,122,0.5580358901490048,0.931218312997786,0.6555285115606307,28.552769598953986,0.32048174985847266,27,0.5831164863756154,37.681065267898674,0.9038731870255757,122,True,True,True
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_1p5/okappa_2/pos_rep06_seed10000006.npz,100,1.5,2.0,6,10000006,ok,100000,99999,149,0.10121829807758331,0.6037659645080566,32.62406181569067,447.6080840124707,65.74819087982178,281.31958548956396,33388.89632463664,703.171756951418,0.35158587847570905,0.8662203404544518,0.5535402418138359,41.345794146967656,0.8671564233018743,149,2.465171373454283,1.5671014598558106,149,0.15566826864822153,0.12025435706550802,0.007399672990857845,0.03151575787893947,0.013606803401700852,135,27,122,0.5522020157571463,0.8919093964628426,0.5287804784055116,42.469120594554525,0.3106336623016195,27,0.5571764415932771,41.47144489419204,0.8869627545079926,122,True,True,True
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_1p5/okappa_2/pos_rep07_seed10000007.npz,100,1.5,2.0,7,10000007,ok,100000,99999,149,0.07157418131828308,0.5977654457092285,35.918074259815754,443.8201198263225,67.25976467132568,312.495543641938,34320.612591929195,710.0346688132613,0.35501733440663064,0.8558834700385486,0.5948699933713512,37.0026071143477,0.8518693400692393,149,2.562904676497658,1.573512795939877,149,0.1326619382263156,0.1863917502324805,0.009085079452477916,0.03251625812906453,0.016008004002001,141,29,120,0.6240608930071512,0.8775738378346463,0.5272980116866226,47.3247375157487,0.3639324860069394,29,0.5963567785333429,36.78615658543731,0.8734488675754671,120,True,True,True
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_1p5/okappa_2/pos_rep08_seed10000008.npz,100,1.5,2.0,8,10000008,ok,100000,99999,149,0.1312914341688156,0.581814169883728,29.89541947483804,456.79183182295475,65.4079258441925,297.95994688385736,40807.62915413097,711.9836464606234,0.3559918232303117,0.9110896263947206,0.6222032505258303,36.118374815794716,0.8541431219432146,149,2.574421382270012,1.6401123273902103,149,0.10055819905792172,0.1531769019744249,0.008685550829105828,0.04252126063031516,0.014507253626813406,140,33,116,0.7995999121911512,0.9272006748525857,0.7136560777074021,28.429869230876974,0.5575646756183634,33,0.6152629993201436,36.11684896860583,0.8635709595979018,116,True,True,True
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_1p5/okappa_2/pos_rep09_seed10000009.npz,100,1.5,2.0,9,10000009,ok,100000,99999,149,0.11727049201726913,0.5873652696609497,33.95669011292892,429.82934988987716,65.2383029460907,291.3812358834827,31012.077999307498,699.8757862557071,0.34993789312785356,0.8352899758245417,0.5660889654377395,39.61707814384648,0.8267972450600649,149,2.4937090082080626,1.574113872076154,149,0.24154615741922458,0.16262713276279728,0.008789629714185954,0.029514757378689346,0.016008004002001,141,31,118,0.421252494658213,0.8843929740981391,0.4771411987072835,50.55188630175096,0.20003011596351883,31,0.5748783992514099,39.41577622204265,0.8673007829285058,118,True,True,True
