path,N,percept_kappa,option_kappa,rep,seed,status,n_frames,n_omega,n_windows,Omega_mean,Omega_var,chi_mean,chi_var,chi_max,tau_mean,tau_var,tau_max,tau_max_over_W,corr_chi_tau,alpha_all,pref_all,r2_all,n_all_fit,log10_chi_range,log10_tau_range,n_loglog,corr_flip_chi,corr_flip_tau,flip_mean,flip_max,flip_qthr,n_flip_pos,n_hi,n_lo,corr_hi,corr_lo,alpha_hi,pref_hi,r2_hi,n_hi_fit,alpha_lo,pref_lo,r2_lo,n_lo_fit,hi_valid,lo_valid,has_switching
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_0p5/okappa_1p5/pos_rep00_seed10000000.npz,100,0.5,1.5,0,10000000,ok,100000,99999,149,0.004562848247587681,0.09076729416847229,8.793660293289479,2.45952961353028,12.179909646511078,56.346670016126104,575.3610713774532,151.78687583093836,0.07589343791546918,0.6103543776642306,1.3553409184579512,2.8068667792481925,0.4310183287639884,149,0.37711340565311613,0.786220876486023,149,-0.7345133095418878,-0.3373039798460184,0.0804026174160906,0.11255627813906953,0.08944472236118059,149,30,119,0.6704140675887894,0.5955525991453257,1.7405796316113715,1.4802100064463308,0.4607599615942868,30,1.6139902235195818,1.5412054523728933,0.4249018336393272,119,True,True,True
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_0p5/okappa_1p5/pos_rep01_seed10000001.npz,100,0.5,1.5,1,10000001,ok,100000,99999,149,-0.007003086619079113,0.0973333865404129,9.30143806758343,3.215378181545214,14.060254395008087,71.38638958740258,1411.250266862036,278.2171708556885,0.13910858542784424,0.5138223676363042,1.4202884186908213,2.778502156288285,0.3989423511513408,149,0.4052902742938357,1.07108759085981,149,-0.758241731608712,-0.3339098095126059,0.08003330524322566,0.1135567783891946,0.09304652326163082,149,31,118,0.5765363293547262,0.40817874808107607,1.3354888463333596,3.1371935047428168,0.3771188438127281,31,1.301896732090464,3.6806064509170735,0.2506856914334943,118,True,True,True
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_0p5/okappa_1p5/pos_rep02_seed10000002.npz,100,0.5,1.5,2,10000002,ok,100000,99999,149,0.004645724780857563,0.09582871943712234,9.274989591548907,2.607519107898346,13.676080107688904,66.33994966372622,930.9707745746568,173.0313607764346,0.0865156803882173,0.5397082056385032,1.376189241653631,2.8897518833186755,0.33686700030284245,149,0.3495369225602758,0.8083671210416374,149,-0.6659798001675343,-0.39611522977159724,0.07797522922535093,0.10705352676338169,0.08724362181090546,149,30,119,0.3347127110639255,0.5061486043042382,1.2191749659412219,4.151996844788585,0.1443165546075592,30,1.5100381264395917,2.1110287015796882,0.3117337533954673,119,True,True,True
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_0p5/okappa_1p5/pos_rep03_seed10000003.npz,100,0.5,1.5,3,10000003,ok,100000,99999,149,-0.020821737125515938,0.09198512881994247,8.98296433507196,2.8972041578247034,13.655243813991547,60.25813045305399,886.3046924886522,203.87011993584042,0.10193505996792021,0.49989634511078146,1.2697820214824715,3.464508776349152,0.3582842873445786,149,0.43541440537846166,0.9824232151568946,149,-0.7545700728409611,-0.4222877226921466,0.07939540239918616,0.10855427713856929,0.08854427213606804,149,32,117,0.632393716629576,0.42350580168200186,1.267689471209524,3.457782703416067,0.4860792266155035,32,1.2547513929658367,3.588614272222667,0.2535256422605152,117,True,True,True
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_0p5/okappa_1p5/pos_rep04_seed10000004.npz,100,0.5,1.5,4,10000004,ok,100000,99999,149,-0.0014470521127805114,0.09390293806791306,9.139365127822696,2.429384895950156,13.481411337852478,61.709662347547805,801.0564566311509,182.19632266118384,0.09109816133059193,0.5554287698948481,1.3800734870188276,2.7284630753374968,0.3566316419494374,149,0.41837108787964716,0.926421714811231,149,-0.6065158799741482,-0.30381196832871316,0.07867692235379432,0.10305152576288144,0.08874437218609305,149,30,119,0.43387662315793607,0.5369178656971654,1.561987112244796,1.9057912153312555,0.3197915339234306,30,1.3516941349391087,2.9027272363829173,0.2782554900090962,119,True,True,True
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_0p5/okappa_1p5/pos_rep05_seed10000005.npz,100,0.5,1.5,5,10000005,ok,100000,99999,149,-0.012788230553269386,0.090573251247406,8.833463142482227,2.238730177963196,13.264866173267365,63.04239630987959,658.3118307607228,201.26442924188186,0.10063221462094094,0.5630952066185709,1.5322208085039766,2.1238427031097444,0.45357516553713406,149,0.36867925566974413,0.9445136114122856,149,-0.6418558043563691,-0.3559661380912685,0.08045969293371517,0.10855427713856929,0.0897448724362181,149,30,119,0.6456043947776646,0.5007841820660088,1.8645891153274736,1.057246837250949,0.5192752988840978,30,1.4166691412404966,2.7547969547467304,0.372014660098516,119,True,True,True
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_0p5/okappa_1p5/pos_rep06_seed10000006.npz,100,0.5,1.5,6,10000006,ok,100000,99999,149,0.012473706156015396,0.08897147327661514,8.609897535819336,2.352944424921783,13.686083257198334,59.03059481533449,759.1873366781701,208.8260107318487,0.10441300536592435,0.6568988470997408,1.4800804796438514,2.2968131309579762,0.44453695640719715,149,0.43761100500445105,1.0610710820253648,149,-0.6474738184004106,-0.31276559708931057,0.08174557077196318,0.11505752876438219,0.0912456228114057,149,30,119,0.6160750705859113,0.6789894913296637,1.6209133467057115,1.9740126738991346,0.43033075886529804,30,1.7190285646651253,1.3217938624477206,0.4752734819285409,119,True,True,True
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_0p5/okappa_1p5/pos_rep07_seed10000007.npz,100,0.5,1.5,7,10000007,ok,100000,99999,149,-0.0028148810379207134,0.09144864976406097,8.851411728650932,2.5315409306718375,14.38848227262497,63.11172843211515,869.3579044141178,203.26725193028489,0.10163362596514244,0.40075553780054957,1.1658337049514065,4.62601909763306,0.2594247725121034,149,0.428836295000785,0.9670148955152911,149,-0.6483374202627112,-0.30157653546290836,0.08065106378692702,0.11255627813906953,0.08924462231115558,149,30,119,0.27168297654990464,0.4242957551585072,1.0319261355983769,6.661043433969023,0.18751516107299215,30,1.3796238204423465,2.820072611508513,0.2923588553226407,119,True,True,True
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_0p5/okappa_1p5/pos_rep08_seed10000008.npz,100,0.5,1.5,8,10000008,ok,100000,99999,149,0.005325645208358765,0.08843448758125305,8.530915168507788,2.8142994308205704,14.825443923473358,56.946152755393165,491.42576830241626,154.5541707085737,0.07727708535428686,0.5341073796275956,1.1748110853556748,4.380610828401814,0.3645258614713458,149,0.47737766146804295,0.9017229329989755,149,-0.6896071144512579,-0.35836193320351223,0.0819000104078885,0.11655827913956979,0.09074537268634317,149,30,119,0.5253245753875754,0.5323951965553609,1.9107028171495688,1.07389590627327,0.4205272406150654,30,1.1397959257925807,4.672698992464909,0.34069943088539745,119,True,True,True
/home/hpc/Desktop/resonant_swarm_runs/position_records/N100/kappa_0p5/okappa_1p5/pos_rep09_seed10000009.npz,100,0.5,1.5,9,10000009,ok,100000,99999,149,-0.014150390401482582,0.09198601543903351,8.836320135117377,2.102758609459214,13.1903275847435,61.865131542156355,944.0030656017542,200.74017386648586,0.10037008693324292,0.5701463042653405,1.5066533663478705,2.157650501825108,0.3660212496681221,149,0.3839183464417444,0.9279388462167488,149,-0.6832976221374161,-0.3395858241744715,0.08030525329778984,0.11555777888944473,0.09104552276138068,149,32,117,0.5162807886570597,0.5241860361387484,1.2062043372543418,3.9120732109229066,0.2479507186217479,32,1.5721056275858063,1.8679610303925414,0.29234052690765255,117,True,True,True
